show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
1,Movie,Lost City 328,Director 187,"Actor 327, Actor 1199",,,,NR,,Horror,A gripping horror story full of twists.
1,movie,Love Story 1330,Dir. 378,Actor 234,United States,"November 27, 2021",,TV-MA,75 min,Action,
3,movie,Lost City 1741,Dir. 365,,,13-12-2021,,NR,,Action,
4,tv show,Ocean Secrets 1036,Dir. 450,,Germany,,1982.0,TV-14,,Sci-Fi,
5,tv show,Dark Crime 34,,,France,2021-08-08,1995.0,TV-MA,36 min,Romance,
6,movie,Secret Files 1366,Director 34,,,,,TV-14,,Sci-Fi,Unexpected events change everything.
7,MOVIE,Urban Legends 1452,Dir. 399,,United States,26-06-2023,,R,81 min,Horror,Unexpected events change everything.
8,movie,Lost City 1838,,"Actor 45, Actor 933",,"August 26, 2017",2005.0,PG,1 Season,Romance,
9,TV Show,Silent Voices 911,Director 301,,,,,,50 min,Sci-Fi,Unexpected events change everything.
9,Movie,Silent Voices 1314,,,Canada,"June 20, 2020",,,10 Seasons,Sci-Fi,An emotional journey about life and relationships.
11,MOVIE,Ocean Secrets 474,,"Actor 33, Actor 510",United States,,,TV-14,2 Seasons,Comedy,
12,MOVIE,Secret Files 854,Director 94,Actor 578,Australia,,,PG-13,,Documentary,Unexpected events change everything.
13,TV Show,Ocean Secrets 211,Dir. 235,"Actor 282, Actor 856",,,2020.0,NR,9 Season,Thriller,
14,tv show,Hidden Truth 1065,Director 476,Actor 1183,India,,,R,61 min,Comedy,
15,TV Show,Dark Crime 1854,Dir. 290,"Actor 458, Actor 1050",United States,01/03/2025,2010.0,NR,50 min,Documentary,An emotional journey about life and relationships.
16,MOVIE,Hidden Truth 1777,,,UK,02/09/2023,1998.0,NR,138 min,Action,
17,MOVIE,Last Kingdom 361,Dir. 119,,,,,PG,3 Seasons,Horror,An emotional journey about life and relationships.
18,movie,Love Story 681,,"Actor 488, Actor 1023",UK,,,PG,,Thriller,Unexpected events change everything.
19,MOVIE,Urban Legends 1696,Dir. 262,Actor 292,France,,1985.0,NR,,Documentary,
20,movie,Silent Voices 581,,Actor 224,France,10/25/2023,2005.0,PG-13,,Thriller,A gripping thriller story full of twists.
21,MOVIE,Love Story 866,Director 83,Actor 1469,France,,,NR,75 min,Horror,
22,tv show,Last Kingdom 1702,,,,2019-11-27,,,55 min,Romance,
23,TV Show,Lost City 1825,,"Actor 380, Actor 529",Australia,,2021.0,PG-13,11 Seasons,Documentary,An emotional journey about life and relationships.
24,movie,Last Kingdom 1880,Director 222,Actor 390,UK,"April 05, 2019",,,,Drama,
25,MOVIE,Midnight Tales 375,Director 353,,France,11-07-2024,1980.0,PG,2 Seasons,Documentary,An emotional journey about life and relationships.
26,TV Show,Lost City 696,Director 427,"Actor 288, Actor 588",France,"July 09, 2018",2019.0,R,,Romance,
27,tv show,Silent Voices 1222,Director 210,Actor 422,Canada,04/12/2023,,R,,Horror,
11,MOVIE,Ocean Secrets 1508,Dir. 291,,,,1988.0,NR,1 Seasons,Documentary,
29,MOVIE,Secret Files 1839,Director 167,,Canada,,1996.0,PG-13,8 Seasons,Action,
30,tv show,Urban Legends 1488,,"Actor 470, Actor 1118",Canada,,,PG-13,,Documentary,Unexpected events change everything.
31,TV Show,Secret Files 1468,,,UK,,,PG,156 min,Comedy,Unexpected events change everything.
32,TV Show,Broken Dreams 1921,Director 79,"Actor 156, Actor 1409",,,2021.0,PG-13,217 min,Thriller,A gripping thriller story full of twists.
33,tv show,Lost City 1241,Dir. 316,Actor 750,Germany,"October 03, 2024",,TV-14,1 Seasons,Thriller,
9,tv show,Broken Dreams 1578,Director 315,Actor 1047,UK,14-03-2019,2017.0,PG-13,50 min,Romance,An emotional journey about life and relationships.
35,Movie,Silent Voices 1571,,,Canada,07/31/2025,,NR,11 Season,Documentary,
36,TV Show,Silent Voices 883,,,,,2002.0,,3 Season,Drama,Unexpected events change everything.
37,movie,Mystery House 1992,Dir. 49,Actor 1835,,04/04/2019,1987.0,TV-14,,Documentary,A gripping documentary story full of twists.
38,tv show,Love Story 1348,,Actor 744,Germany,,,,179 min,Romance,
39,MOVIE,Love Story 584,,,France,"November 17, 2025",2019.0,R,5 Season,Documentary,A gripping documentary story full of twists.
40,TV Show,Mystery House 1847,Dir. 143,"Actor 179, Actor 1178",United States,"October 12, 2023",,PG,7 Season,Thriller,
41,tv show,Urban Legends 1625,Dir. 197,,Canada,,,PG-13,81 min,Drama,
42,movie,Love Story 1048,Director 428,"Actor 189, Actor 1124",India,,,TV-MA,12 Season,Comedy,Unexpected events change everything.
43,TV Show,Last Kingdom 736,,Actor 1809,United States,12/31/2025,2023.0,TV-14,,Thriller,Unexpected events change everything.
44,Movie,Midnight Tales 775,Director 485,"Actor 69, Actor 945",Australia,,,TV-14,12 Season,Comedy,A gripping comedy story full of twists.
45,TV Show,Ocean Secrets 1107,Dir. 307,"Actor 76, Actor 1182",United States,"March 26, 2021",1988.0,TV-14,186 min,Horror,Unexpected events change everything.
46,movie,Mystery House 622,,"Actor 4, Actor 1101",France,03-05-2020,1990.0,PG-13,1 Season,Horror,
47,MOVIE,Silent Voices 1607,,"Actor 284, Actor 615",UK,,,,,Action,Unexpected events change everything.
45,tv show,Broken Dreams 1938,,"Actor 309, Actor 916",UK,11/02/2023,,,,Horror,
49,Movie,Urban Legends 1455,Director 361,,Germany,"September 30, 2020",,PG-13,,Documentary,
50,movie,Secret Files 486,Director 417,,France,17-02-2019,,NR,,Documentary,An emotional journey about life and relationships.
51,Movie,Urban Legends 1564,Dir. 318,,Australia,2019-02-23,,TV-14,,Action,
52,movie,Ocean Secrets 752,,,,"June 28, 2017",2003.0,TV-14,,Sci-Fi,
53,tv show,Lost City 1759,Dir. 4,,,,2013.0,PG,80 min,Romance,
54,tv show,Mystery House 531,Dir. 30,,,,,R,39 min,Sci-Fi,An emotional journey about life and relationships.
55,TV Show,Mystery House 746,,"Actor 41, Actor 608",India,2024-11-06,2001.0,R,170 min,Comedy,Unexpected events change everything.
56,movie,Dark Crime 1443,,Actor 1551,Australia,"October 07, 2015",,TV-MA,,Action,Unexpected events change everything.
57,MOVIE,Urban Legends 129,,Actor 1437,Germany,,1995.0,PG-13,,Documentary,Unexpected events change everything.
58,TV Show,Love Story 1548,,"Actor 414, Actor 1453",France,"April 25, 2017",2000.0,TV-MA,2 Season,Horror,Unexpected events change everything.
59,Movie,Mystery House 942,,,Australia,,,PG,39 min,Comedy,
60,TV Show,Last Kingdom 1206,,,Australia,,2017.0,NR,,Thriller,
61,MOVIE,Midnight Tales 785,Director 206,"Actor 46, Actor 827",UK,,,NR,2 Seasons,Thriller,
3,MOVIE,Hidden Truth 513,,Actor 1933,India,,2014.0,R,5 Seasons,Action,A gripping action story full of twists.
63,MOVIE,Lost City 1102,,,France,04-06-2021,1981.0,R,,Action,
64,Movie,Ocean Secrets 1002,Director 141,,France,30-09-2025,,TV-MA,6 Seasons,Horror,
65,movie,Love Story 1626,Director 257,Actor 124,Canada,,1997.0,,,Thriller,An emotional journey about life and relationships.
66,tv show,Mystery House 72,,Actor 560,,,2007.0,NR,164 min,Romance,An emotional journey about life and relationships.
67,movie,Last Kingdom 578,Dir. 324,,UK,2015-09-21,,NR,,Comedy,A gripping comedy story full of twists.
68,TV Show,Ocean Secrets 523,Dir. 120,,,"August 06, 2015",1991.0,TV-MA,199 min,Thriller,An emotional journey about life and relationships.
69,movie,Midnight Tales 1702,,Actor 835,,18-08-2023,1981.0,TV-14,1 Seasons,Drama,A gripping drama story full of twists.
70,Movie,Urban Legends 360,Director 367,,Australia,,,PG,,Comedy,
71,tv show,Midnight Tales 452,,Actor 612,Canada,,,R,60 min,Action,
59,TV Show,Mystery House 1174,,,Australia,24-01-2021,1994.0,,9 Season,Action,
73,MOVIE,Mystery House 469,,"Actor 147, Actor 1278",,2017-04-25,1991.0,PG,,Drama,
74,Movie,Midnight Tales 550,Dir. 90,,UK,,1983.0,TV-MA,9 Seasons,Thriller,
75,tv show,Mystery House 1824,,"Actor 104, Actor 1434",,02-04-2016,,PG-13,,Documentary,An emotional journey about life and relationships.
76,Movie,Love Story 1401,Dir. 342,,,,,PG-13,54 min,Sci-Fi,
28,MOVIE,Ocean Secrets 644,,Actor 81,United States,2022-08-10,,TV-MA,,Thriller,
32,MOVIE,Dark Crime 1727,Dir. 486,Actor 658,,"August 11, 2017",,PG,195 min,Romance,
79,movie,Ocean Secrets 1824,,"Actor 488, Actor 585",Australia,,2009.0,PG,,Action,
80,Movie,Broken Dreams 1229,Director 234,,,,,NR,81 min,Sci-Fi,An emotional journey about life and relationships.
81,tv show,Hidden Truth 1091,Dir. 149,,,15-10-2017,,NR,,Horror,
82,movie,Mystery House 1196,,,France,,,TV-MA,159 min,Thriller,
83,MOVIE,Midnight Tales 808,Director 253,,France,"February 09, 2026",1985.0,TV-MA,9 Season,Sci-Fi,Unexpected events change everything.
84,TV Show,Silent Voices 1474,Dir. 14,Actor 1755,United States,18-11-2018,2014.0,NR,95 min,Thriller,A gripping thriller story full of twists.
85,MOVIE,Lost City 444,,Actor 180,UK,,1984.0,,163 min,Thriller,Unexpected events change everything.
86,movie,Secret Files 775,Director 486,"Actor 304, Actor 1366",Australia,08/02/2018,,NR,8 Season,Action,
87,movie,Secret Files 1448,Dir. 40,,Australia,"November 02, 2018",,NR,,Horror,Unexpected events change everything.
88,Movie,Broken Dreams 574,Director 19,Actor 1614,India,06/25/2017,1997.0,PG,34 min,Drama,
89,movie,Love Story 456,Director 335,Actor 1585,India,08-11-2018,,PG,,Thriller,An emotional journey about life and relationships.
90,movie,Lost City 1390,Director 376,"Actor 479, Actor 927",Canada,22-02-2022,,R,1 Seasons,Documentary,A gripping documentary story full of twists.
91,tv show,Broken Dreams 278,,,UK,"August 25, 2016",2021.0,PG,4 Season,Action,A gripping action story full of twists.
92,tv show,Last Kingdom 277,Dir. 51,,,08/21/2025,2001.0,PG,3 Seasons,Sci-Fi,
93,TV Show,Urban Legends 336,Director 321,,,,1981.0,R,7 Seasons,Drama,A gripping drama story full of twists.
94,Movie,Secret Files 877,Dir. 87,,Australia,,2021.0,NR,,Drama,
95,tv show,Mystery House 100,,,UK,"July 27, 2018",,,179 min,Horror,
96,Movie,Dark Crime 1295,,,,,,R,,Thriller,An emotional journey about life and relationships.
97,movie,Dark Crime 1888,Director 172,"Actor 486, Actor 1104",Canada,08/29/2019,2015.0,,74 min,Thriller,Unexpected events change everything.
98,MOVIE,Lost City 1103,,,,09/03/2015,2019.0,TV-14,7 Season,Sci-Fi,A gripping sci-fi story full of twists.
99,movie,Midnight Tales 1917,Dir. 282,Actor 747,France,,2025.0,R,,Documentary,A gripping documentary story full of twists.
100,TV Show,Broken Dreams 921,Director 350,,Australia,07/25/2018,,R,1 Season,Drama,An emotional journey about life and relationships.
18,movie,Dark Crime 100,,,United States,"May 28, 2023",1990.0,PG,58 min,Sci-Fi,
102,tv show,Midnight Tales 1760,Director 265,,Canada,22-08-2019,2005.0,PG,,Sci-Fi,An emotional journey about life and relationships.
103,Movie,Mystery House 1586,Director 420,"Actor 186, Actor 657",Australia,02-10-2015,2012.0,PG,,Romance,
104,movie,Love Story 68,Director 301,,,27-04-2018,1986.0,TV-MA,155 min,Sci-Fi,
105,MOVIE,Midnight Tales 1645,,Actor 346,,,2018.0,,151 min,Romance,
106,tv show,Hidden Truth 425,,,France,21-07-2017,,PG,,Thriller,An emotional journey about life and relationships.
107,TV Show,Urban Legends 573,,Actor 158,India,05/08/2018,1986.0,TV-MA,,Sci-Fi,
108,tv show,Lost City 1530,Director 319,,UK,06-03-2021,,TV-MA,,Sci-Fi,A gripping sci-fi story full of twists.
109,MOVIE,Dark Crime 283,,"Actor 25, Actor 721",Germany,10/07/2017,2005.0,TV-14,33 min,Action,Unexpected events change everything.
110,movie,Dark Crime 1937,Dir. 215,"Actor 122, Actor 510",UK,,1985.0,PG,,Documentary,
111,movie,Urban Legends 336,Director 205,,UK,,,NR,4 Season,Comedy,A gripping comedy story full of twists.
112,tv show,Last Kingdom 1534,Dir. 105,"Actor 68, Actor 660",Germany,,1981.0,R,,Horror,
113,TV Show,Last Kingdom 1276,,,Australia,,1984.0,,,Action,Unexpected events change everything.
114,Movie,Urban Legends 1366,Dir. 110,"Actor 486, Actor 1128",Canada,12/20/2015,1980.0,,,Drama,
115,TV Show,Love Story 1482,Director 212,Actor 38,United States,"March 21, 2025",,NR,215 min,Sci-Fi,An emotional journey about life and relationships.
